Kode Kemendagri,Kabupaten,Provinsi,Ibu Kota,Kecamatan,Kelurahan/Desa
53.03,Kabupaten Timor Tengah Utara,Nusa Tenggara Timur,Kefamenanu,24,193
12.12,Kabupaten Toba Samosir,Sumatra Utara,Balige,16,244
72.09,Kabupaten Tojo Una-Una,Sulawesi Tengah,Ampana,12,146
72.04,Kabupaten Toli-Toli,Sulawesi Tengah,Toli-Toli,10,109
91.14,Kabupaten Tolikara,Papua Pegunungan,Karubaga,46,545
73.26,Kabupaten Toraja Utara,Sulawesi Selatan,Rantepao,21,151
35.03,Kabupaten Trenggalek,Jawa Timur,Trenggalek,14,157
35.23,Kabupaten Tuban,Jawa Timur,Tuban,20,328
18.12,Kabupaten Tulang Bawang Barat,Lampung,Tulang Bawang Tengah,9,96
18.05,Kabupaten Tulang Bawang,Lampung,Menggala,15,151
35.04,Kabupaten Tulungagung,Jawa Timur,Tulungagung,19,271
73.13,Kabupaten Wajo,Sulawesi Selatan,Sengkang,14,190
74.07,Kabupaten Wakatobi,Sulawesi Tenggara,Wangi-Wangi,8,101
91.15,Kabupaten Waropen,Papua,Botawa,11,100
18.08,Kabupaten Way Kanan,Lampung,Blambangan Umpu,14,227
33.12,Kabupaten Wonogiri,Jawa Tengah,Wonogiri,25,294
33.07,Kabupaten Wonosobo,Jawa Tengah,Wonosobo,15,265
91.13,Kabupaten Yahukimo,Papua Pegunungan,Sumohai,51,511
91.22,Kabupaten Yalimo,Papua Pegunungan,Elelim,5,300
